Cartridge S/N,STATUS,Cartridge,สาเหตุไม่ผ่าน QC,วันที่รับเข้า Stock x,วันที่รับเข้า Stock,Clinic,Clinic x,เก็บที่,์Note,Sale ที่เบิก,เบิกเพื่อ,วันที่เบิก,Stock Cartridge 2,Stock Cartridge
FLA225110069,พร้อมขาย,A2.0,"
",28/02/2025,,,"
",โกดัง,,,,,,
FLA225110071,พร้อมขาย,A2.0,"
",28/02/2025,,,"
",โกดัง,,,,,,
FLA225110076,พร้อมขาย,A2.0,"
",28/02/2025,,,"
",โกดัง,,,,,,
FLA225310108,พร้อมขาย,A2.0,,,13/05/2025,,,,,,,,,
FLA225710198,พร้อมขาย,A2.0,,,14/08/2025,,,โกดัง,,,,,,
FLA225910197,พร้อมขาย,A2.0,,,07/12/2025,,,,,,,,,
FLA225910199,พร้อมขาย,A2.0,,,07/12/2025,,,,,,,,,
FLA225B10231,พร้อมขาย,A2.0,,,25/12/2025,,,โกดัง,,,,,,
FLA225B10232,พร้อมขาย,A2.0,,,25/12/2025,,,โกดัง,,,,,,
FLA225B10233,พร้อมขาย,A2.0,,,25/12/2025,,,โกดัง,,,,,,
FLA225B10234,พร้อมขาย,A2.0,,,25/12/2025,,,โกดัง,,,,,,
FLA225B10235,พร้อมขาย,A2.0,,,25/12/2025,,,โกดัง,,,,,,
FLA226100003,พร้อมขาย,A2.0,,,02/02/2026,,,โกดัง,,,,,,
FLA226100005,พร้อมขาย,A2.0,,,02/02/2026,,,โกดัง,,,,,,
FLA226100006,พร้อมขาย,A2.0,,,02/02/2026,,,โกดัง,,,,,,
FLA226100010,พร้อมขาย,A2.0,,,02/02/2026,,,โกดัง,,,,,,
FLA226100011,พร้อมขาย,A2.0,,,02/02/2026,,,โกดัง,,,,,,
FLA226100012,พร้อมขาย,A2.0,,,02/02/2026,,,Office,,,,,,
FLA226100014,พร้อมขาย,A2.0,,,02/02/2026,,,Office,,,,,,
FLA226100015,พร้อมขาย,A2.0,,,02/02/2026,,,Office,,,,,,
FLA223910158,ขายแล้ว,A2.0,"
",10/01/2025,,,Victory M clinic,Office,,,,,,
FLA223910177,ขายแล้ว,A2.0,"
",10/01/2025,,,"YKJ Medical Clinic
",โกดัง,,,,,,
FLA223910187,ขายแล้ว,A2.0,"
",10/01/2025,,,A-listic clinic,Office,,,,,,
FLA223910175,ขายแล้ว,A2.0,"
",10/01/2025,,,Thana Clinic (บ้านโป่ง),Office,,,,,,
FLA224510133,ขายแล้ว,A2.0,"
",10/01/2025,,,Meruk Clinic,Office,,,,,,
FLA224210113,ขายแล้ว,A2.0,"
",10/01/2025,,,"KRM Clinic
",Office,,,,,,
FLA224210114,ขายแล้ว,A2.0,"
",10/01/2025,,Kay Hay Clinic (รังสิต),,Office,,Chananpas,เบิกขาย,02/05/2025,,
FLA224210115,ขายแล้ว,A2.0,"
",10/01/2025,,Victory M clinic,,Office,,Ruangkhaow,เบิกขาย,26/05/2025,,
FLA224210117,ขายแล้ว,A2.0,"
",17/01/2025,,,Meruk Clinic,โกดัง,,,,,,
FLA225110003,ขายแล้ว,A2.0,"
",17/01/2025,,,Kay Hay Clinic (พระราม 2),โกดัง,,,,,,
FLA223210026,ขายแล้ว,A2.0,"
",17/01/2025,,,Amor Clinic,โกดัง,,,,,,
FLA223610085,ขายแล้ว,A2.0,"
",17/01/2025,,,Biyo Clinic,โกดัง,,,,,,
FLA225110053,ขายแล้ว,A2.0,"
",17/02/2025,,,KAY Clinic (พญาไท),โกดัง,,,,,,
FLA225110054,ขายแล้ว,A2.0,"
",17/02/2025,,,Mantra Clinic,โกดัง,,,,,,
FLA225110055,ขายแล้ว,A2.0,"
",17/02/2025,,,Natcha Clinic,โกดัง,,,,,,
FLA225110056,ขายแล้ว,A2.0,"
",17/02/2025,,Revize clinic,"
",โกดัง,,,,13/03/2025,,
FLA225110057,ขายแล้ว,A2.0,"
",17/02/2025,,Audrey Clinic,"
",โกดัง,,,,17/03/2025,,
FLA225110060,ขายแล้ว,A2.0,"
",28/02/2025,,Audrey Clinic,"
",โกดัง,,,,17/03/2025,,
FLA225110061,ขายแล้ว,A2.0,"
",28/02/2025,,Boyoung clinic,"
",โกดัง,,,,13/03/2025,,
FLA225110062,ขายแล้ว,A2.0,"
",28/02/2025,,Soluna Clinic,"
",โกดัง,,,,25/03/2025,,
FLA225110063,ขายแล้ว,A2.0,"
",28/02/2025,,Jins Clinic,"
",โกดัง,,Varn,,09/04/2025,,
FLA225110068,ขายแล้ว,A2.0,"
",28/02/2025,,Skin Serve Beauty center เวียงจันทร์,"
",โกดัง,,,,,,
