product_type,serial_number,status,clinic,hfl1,hfl2,hsd1,hsd2,hrm,hrm_sell_or_keep,ups_stabilizer,received_date,storage_location,inspection_doc,fail_reason,notes
ND2,HNT01250051,ติดตั้งแล้ว,KRM Clinic,HFL02240313,HFL02240353,HSD0324358C,HSD0324356C,HRM04231475,ขาย,,,,,,
ND2,HNT01240036,ติดตั้งแล้ว,A-listic clinic,HFL02241584,HFL02241734,HSD03242284,HSD03242224,HRM04240554,ขาย,,2024-08-01,,,,
ND2,HNT01240067,ติดตั้งแล้ว,Dr.Orawan clinic,HFL02241354,HFL02242114,HSD03242334,HSD03242094,HRM04240186,ขาย,,2024-08-01,,,,
ND2,HNT01240027,ติดตั้งแล้ว,Kritthada clinic,HFL02240904,HFL02241864,HSD03242984,HSD03241404,HRM04240156,ขาย,,2024-08-01,,,,
ND2,HNT01240368,ติดตั้งแล้ว,Napassaree clinic,HFL02243074,HFL02243104,HSD03241984,HSD03240734,HRM04240027,ขาย,,2024-08-01,,,,
ND2,HNT01240046,ติดตั้งแล้ว,Rukkhun clinic,HFL02241804,HFL02241794,HSD03242274,HSD03242324,HRM04240574,ขาย,,2024-08-01,,,,
ND2,HNT01240057,ติดตั้งแล้ว,Victory M clinic,HFL02241814,HFL02241284,HSD03242084,HSD03241424,HRM04240206,ขาย,,2024-08-14,,,,
ND2,HNT01240026,ติดตั้งแล้ว,Janetiwa house clinic,HFL02241674,HFL02241784,HSD03242394,HSD03242244,HRM04240312,ขาย,,2024-08-01,,,,
ND2,HNT01240037,ติดตั้งแล้ว,Skin Dream Clinic,HFL02241394,HFL02241274,HSD03242134,HSD03242124,HRM04231909,ขาย,,2024-08-15,,,,
ND2,HNT0124090C,ติดตั้งแล้ว,Iskin clinic,HFL0224655C,HFL0224656C,HSD0324324C,HSD0324322C,HRM0424131B,ขาย,ZK0022024HDR20194,2024-08-01,,,,
ND2,HNT01240056,ติดตั้งแล้ว,Vinfinity clinic,HFL02241704,HFL02241594,HSD03242304,HSD03236117,HRM04240544,ขาย,,2024-08-01,,,,
ND2,HNT01240358,ติดตั้งแล้ว,REDERMi Clinic,HFL02243044,HFL02243014,HSD03241514,HSD03242904,HRM04240207,ขาย,,2024-08-01,,,,
ND2,HNT01240398,ติดตั้งแล้ว,Reals Aesthetic Center,HFL02243114,HFL02243124,HSD03241394,HSD03242774,HRM04240087,ขาย,ZK0022024HDR20202,2024-08-01,,,,
ND2,HNT01240378,ติดตั้งแล้ว,สุขเลิศ คลินิก,HFL02243154,HFL02243054,HSD03241504,HSD03241474,HRM04240187,ขาย,,2024-09-04,,,,
ND2,HNT01240388,ติดตั้งแล้ว,22's. Clinic,HFL02242914,HFL02242254,HSD03241894,HSD03242794,HRM04240057,ขาย,,2024-09-17,,,,
ND2,HNT01240449,ติดตั้งแล้ว,กิตติศักดิ์ คลินิก,HFL02244098,HFL02244088,HSD03240688,HSD03240668,HRM04240128,ขาย,ZK0022024HDR20179,2024-09-23,,,,
ND2,HNT01240429,ติดตั้งแล้ว,Dermatige,HFL02244158,HFL02243428,HSD03240958,HSD03240948,HRM04240118,ขาย,,2024-09-25,,,,
